
param n := 11;

Spain  France, Italy, Switzerland, Belgium, Monaco, Netherland, Germany, Poland, UK,  Ireland

Ireland Poland Italy Switzerland France Monaco UK Belgium Netherlands Germany;


param Cost : 1  2  3  4  5  6  7  8  9  10  11
1   0  10  10  10  10  10  10  10  10 10   10
2   10  0  60 4  302  1  10  10  30  40   15
3   10  40  0  20  30  40  20  20  50  20   20
4   10  20  30  0  60  60  70  30  20  10   30
5   10  50  40  50  0  20  70  40  50  50   30
6   10  30  60  30  50  0  70  20  10  20   20
7   10  70  40  30  40  20  0  60  70  80   30
8   10  20  1  20  20  30  60  70  0  90   30
9   10  10  9  50  40  20  20  10  0  10   50
10  10  20  2  30  20  40  10  20  30  0   60
11  10  30  5  40  40  80  70  50  50  50   0
;



